           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             -2.5             -4.9                0       -1133.6862                0        -1429.882                0         13466772                0
             -2.4             -4.9                0       -3042.6938                0        1435.6239                0         10576896                0
             -2.3             -4.9                0       -1740.0085                0        3867.1926                0        7680041.5                0
             -2.2             -4.9                0        3179.5405                0        5798.8564                0          4805509                0
             -2.1             -4.9                0        8463.0205                0        10274.438                0        1959397.5                0
               -2             -4.9                0        11053.842                0        11144.642                0       -845584.12                0
             -1.9             -4.9                0          8024.52                0        9154.1768                0         -3605407                0
             -1.8             -4.9                0         3945.604                0         1119.376                0         -6289357                0
             -1.7             -4.9                0        2822.9343                0       -5481.3027                0         -8899992                0
             -1.6             -4.9                0        1562.2288                0       -3340.2715                0        -11456178                0
             -1.5             -4.9                0        2093.2839                0       -91.216309                0        -13930182                0
             -1.4             -4.9                0        4764.3984                0        5127.3599                0        -16315126                0
             -1.3             -4.9                0        10884.261                0        16723.518                0        -18550004                0
             -1.2             -4.9                0        17300.154                0        27814.676                0        -20669636                0
             -1.1             -4.9                0        21669.889                0        34969.922                0        -22670058                0
               -1             -4.9                0        9133.7979                0        13650.663                0        -24521924                0
             -0.9             -4.9                0        1529.1014                0        3078.6199                0        -26209544                0
             -0.8             -4.9                0       -527.33154                0        7618.4224                0        -27701856                0
             -0.7             -4.9                0       -6252.4346                0        5110.5796                0        -29045564                0
             -0.6             -4.9                0       -13714.702                0        1541.0569                0        -30243160                0
             -0.5             -4.9                0        -20484.26                0       -418.17365                0        -31299304                0
             -0.4             -4.9                0       -20239.279                0        3450.1748                0        -32129644                0
             -0.3             -4.9                0       -12065.176                0        4264.3652                0        -32759064                0
             -0.2             -4.9                0        2216.0808                0       -817.16504                0        -33218228                0
             -0.1             -4.9                0        20584.668                0       -4361.8208                0        -33520160                0
                0             -4.9                0       -46365.953                0       -5507.4033                0        -33672672                0
