           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
             -0.1             -4.9                0                0        40532.137                0        3472.0046                0       -7.8370705
                0             -4.9                0                0        40467.234                0       -5.5675106                0        13.992201
              0.1             -4.9                0                0        40532.137                0       -3472.0046                0        7.8370705
              0.2             -4.9                0                0        40590.074                0       -6934.8594                0        2.8155565
              0.3             -4.9                0                0        40588.184                0       -10395.356                0       -2.5834317
              0.4             -4.9                0                0        40618.961                0       -13851.964                0       -4.3068295
              0.5             -4.9                0                0        40706.672                0       -17265.469                0       -2.2197208
              0.6             -4.9                0                0        40883.711                0       -20579.971                0     -0.073167801
              0.7             -4.9                0                0        41090.289                0       -23890.154                0      -0.35142702
              0.8             -4.9                0                0        41285.844                0       -27188.918                0       -1.8670086
              0.9             -4.9                0                0        41408.164                0       -30461.869                0        -1.687387
                1             -4.9                0                0         41610.18                0       -33558.309                0       -6.5595942
              1.1             -4.9                0                0        41875.816                0       -36527.586                0       -15.238528
              1.2             -4.9                0                0        42085.328                0       -39464.422                0       -10.740376
              1.3             -4.9                0                0        42313.453                0        -42392.18                0       -5.2889357
              1.4             -4.9                0                0        42570.723                0       -45313.969                0      -0.60119319
              1.5             -4.9                0                0        42918.172                0       -47856.828                0         5.945365
              1.6             -4.9                0                0        43297.551                0       -50339.562                0        12.408705
              1.7             -4.9                0                0        43699.961                0       -52814.059                0        18.443447
              1.8             -4.9                0                0         43986.32                0       -55235.238                0        8.8759384
              1.9             -4.9                0                0        44283.402                0       -57551.988                0       -3.0998302
                2             -4.9                0                0        44651.355                0       -59445.266                0       -15.279739
              2.1             -4.9                0                0        45017.031                0       -61288.457                0        -17.82848
              2.2             -4.9                0                0        45368.367                0       -63082.523                0       -11.706404
              2.3             -4.9                0                0        45741.891                0       -64844.621                0       -6.5647607
              2.4             -4.9                0                0        46153.066                0       -66352.125                0       -2.5230372
              2.5             -4.9                0                0        46601.883                0       -67563.398                0       -0.1195955
              2.6             -4.9                0                0        47069.426                0       -68734.977                0       0.59370375
              2.7             -4.9                0                0        47473.602                0       -69833.922                0        1.3151996
              2.8             -4.9                0                0        47798.133                0       -70851.039                0      -0.26184583
              2.9             -4.9                0                0        48175.328                0       -71452.719                0       0.08233428
                3             -4.9                0                0        48547.125                0       -71882.688                0        1.3384379
              3.1             -4.9                0                0        48883.789                0       -72260.414                0        1.8178194
              3.2             -4.9                0                0        49237.242                0       -72603.711                0       0.84634066
              3.3             -4.9                0                0        49613.215                0       -72727.766                0       -0.1060546
              3.4             -4.9                0                0        50010.926                0       -72531.266                0      0.076600671
              3.5             -4.9                0                0        50419.727                0       -72303.289                0      -0.76873577
              3.6             -4.9                0                0        50839.602                0       -72043.359                0       -2.6281757
              3.7             -4.9                0                0        51162.824                0       -71387.461                0       -3.8519082
              3.8             -4.9                0                0        51373.883                0       -70535.484                0      -0.61884642
              3.9             -4.9                0                0        51604.309                0       -69648.297                0       0.91544008
                4             -4.9                0                0        51854.098                0       -68725.875                0       0.75094628
              4.1             -4.9                0                0        52085.762                0       -67475.172                0      -0.23030245
              4.2             -4.9                0                0        52329.367                0       -66096.023                0      -0.38045716
              4.3             -4.9                0                0        52599.094                0       -64693.992                0       0.32159781
              4.4             -4.9                0                0        52873.152                0       -63221.551                0        2.4043422
              4.5             -4.9                0                0        52896.867                0       -61304.781                0        3.8809371
              4.6             -4.9                0                0        52928.871                0        -59373.82                0        3.7724938
              4.7             -4.9                0                0        52982.844                0       -57433.641                0        1.8010941
              4.8             -4.9                0                0        53026.734                0       -55349.684                0      -0.58420128
              4.9             -4.9                0                0        53035.016                0       -53052.328                0      -0.88744146
                5             -4.9                0                0        53048.824                0       -50729.844                0       -0.4068903
               -5             -4.8                0                0        55335.992                0        50715.805                0        1.0972958
             -4.9             -4.8                0                0        55330.859                0         53039.32                0       0.64311492
             -4.8             -4.8                0                0        55319.961                0        55334.734                0      -0.69751376
             -4.7             -4.8                0                0        55303.547                0        57557.539                0       -3.1620874
             -4.6             -4.8                0                0        55234.469                0        59473.391                0       -6.9847445
             -4.5             -4.8                0                0        55187.363                0        61380.027                0       -8.9444427
             -4.4             -4.8                0                0        55122.141                0        63241.844                0       -3.6260097
             -4.3             -4.8                0                0        55026.039                0        64899.367                0       -1.4571112
             -4.2             -4.8                0                0        54891.457                0        66313.219                0       -1.4924102
             -4.1             -4.8                0                0        54635.281                0         67659.82                0        1.7272308
               -4             -4.8                0                0        54405.223                0        68983.539                0        4.0946679
             -3.9             -4.8                0                0         54159.73                0        69943.281                0      -0.78479338
             -3.8             -4.8                0                0        53927.164                0        70811.969                0        -5.210463
             -3.7             -4.8                0                0        53687.711                0        71641.094                0       -6.0054832
             -3.6             -4.8                0                0        53427.398                0        72321.016                0       0.63902992
             -3.5             -4.8                0                0         53219.91                0        72663.727                0      -0.95271647
             -3.4             -4.8                0                0        52851.902                0        72908.523                0       -1.2526804
             -3.3             -4.8                0                0        52454.434                0        73106.039                0      -0.54468024
             -3.2             -4.8                0                0        52084.516                0        72994.938                0      -0.97872162
             -3.1             -4.8                0                0         51742.02                0        72651.031                0       -1.6084098
               -3             -4.8                0                0        51328.207                0        72246.734                0       -1.7500345
             -2.9             -4.8                0                0         50929.59                0        71801.836                0      -0.52059531
             -2.8             -4.8                0                0        50560.898                0        71194.078                0      -0.43697402
             -2.7             -4.8                0                0        50245.711                0         70164.75                0        -4.356884
             -2.6             -4.8                0                0        49952.094                0        69093.203                0       -2.8818219
             -2.5             -4.8                0                0        49680.039                0        67979.445                0        3.9882035
             -2.4             -4.8                0                0        49268.184                0        66767.312                0         8.100255
             -2.3             -4.8                0                0        48861.641                0        65248.328                0        15.678379
             -2.2             -4.8                0                0        48469.156                0        63468.152                0        23.296993
             -2.1             -4.8                0                0        48037.863                0        61633.348                0        17.630577
               -2             -4.8                0                0        47640.094                0         59763.23                0        10.497138
             -1.9             -4.8                0                0        47275.828                0        57857.781                0        1.8966504
