           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
              1.9             -4.9                1                0        42588.535                0       -96311.945                0        7.0273385
                2             -4.9                1                0        40904.742                0       -97660.719                0        44.429607
              2.1             -4.9                1                0        39265.418                0        -98850.07                0         54.29805
              2.2             -4.9                1                0         37685.57                0       -99871.742                0        34.132858
              2.3             -4.9                1                0        36110.902                0       -100793.08                0        12.744345
              2.4             -4.9                1                0        34560.016                0       -101032.91                0       0.85703945
              2.5             -4.9                1                0        33042.316                0       -100494.66                0        1.7088847
              2.6             -4.9                1                0        31538.518                0       -99852.508                0        3.3942287
              2.7             -4.9                1                0        29825.273                0       -98979.242                0        4.2606902
              2.8             -4.9                1                0        27849.977                0        -97839.75                0        3.3059413
              2.9             -4.9                1                0         25922.09                0        -95775.93                0        2.0835598
                3             -4.9                1                0        24061.102                0       -93289.281                0        -1.266094
              3.1             -4.9                1                0        22341.691                0       -90542.758                0       -3.0287764
              3.2             -4.9                1                0         20648.01                0       -87711.344                0       -1.4907064
              3.3             -4.9                1                0        18984.648                0       -84545.812                0      -0.56369829
              3.4             -4.9                1                0        17352.607                0       -80732.836                0       -4.8431072
              3.5             -4.9                1                0        15738.189                0       -76877.625                0       -4.6558485
              3.6             -4.9                1                0         14141.39                0       -72980.156                0    -0.0019383356
              3.7             -4.9                1                0        12534.947                0       -68400.422                0      -0.29241967
              3.8             -4.9                1                0        10989.914                0       -63406.484                0       -2.3697567
              3.9             -4.9                1                0        9463.4639                0       -58352.344                0       -3.3278732
                4             -4.9                1                0        7955.6035                0       -53238.039                0       -3.1667676
              4.1             -4.9                1                0        6464.7109                0       -47938.734                0        4.3383017
              4.2             -4.9                1                0        5039.8789                0       -42592.094                0        8.9451246
              4.3             -4.9                1                0        3683.6128                0       -37212.258                0        9.7815695
              4.4             -4.9                1                0        2484.5769                0        -31688.66                0        4.9852943
              4.5             -4.9                1                0        1355.8433                0       -25797.777                0       -3.0417593
              4.6             -4.9                1                0        245.35718                0       -19903.887                0       -6.4310727
              4.7             -4.9                1                0       -828.26917                0       -14016.455                0        -4.204021
              4.8             -4.9                1                0       -1805.4717                0       -8241.5078                0       -1.2680706
              4.9             -4.9                1                0       -2672.3857                0       -2643.2388                0       -1.9007263
                5             -4.9                1                0       -3519.4458                0        2922.8887                0      0.038252831
               -5             -4.8                1                0       -9118.8867                0       -3778.4651                0       -3.2875328
             -4.9             -4.8                1                0       -8241.8477                0        1766.7839                0       -0.3269453
             -4.8             -4.8                1                0        -7357.603                0        7338.6201                0       0.11480117
             -4.7             -4.8                1                0       -6431.5083                0        12975.435                0       0.24398947
             -4.6             -4.8                1                0       -5341.1753                0        18830.688                0        9.9026566
             -4.5             -4.8                1                0       -4213.9814                0         24692.41                0        13.944957
             -4.4             -4.8                1                0        -2784.991                0        30261.572                0         2.323885
             -4.3             -4.8                1                0       -1212.0022                0        35710.883                0        -4.220048
             -4.2             -4.8                1                0        335.22839                0        41091.566                0       -1.4540871
