,Re,Im
1802605210.4208417,1.9539925233402755e-13,-24.801119637868435
1814428857.715431,1.1723955140041653e-13,-23.87105320663497
1826252505.01002,-2.2026824808563106e-13,-23.00038601650131
1838076152.3046093,1.8474111129762605e-13,-22.183221180241016
1849899799.5991983,1.8118839761882555e-13,-21.414401523042905
1861723446.8937876,-2.4868995751603507e-13,-20.689395557568254
1873547094.188377,-2.2737367544323206e-13,-20.00420371379473
1885370741.482966,3.943512183468556e-13,-19.3552807128286
1897194388.7775552,4.760636329592671e-13,-18.73947089378857
1909018036.0721443,-2.5934809855243657e-13,-18.153953995931175
1920841683.3667336,2.0605739337042905e-13,-17.596199424504135
1932665330.6613226,1.8474111129762605e-13,-17.06392743127522
1944488977.9559119,1.8829382497642655e-13,-16.555075950172263
1956312625.2505012,0.0,-16.067772067413834
1968136272.5450902,-4.973799150320701e-14,-15.600307290233648
1979959919.8396795,-4.618527782440651e-14,-15.151115920688287
1991783567.1342685,-9.237055564881302e-14,-14.718755949639522
2003607214.4288578,-7.105427357601002e-15,-14.301891966908574
2015430861.7234468,2.842170943040401e-14,-13.89927964064726
2027254509.0180361,-1.3145040611561853e-13,-13.509751354366747
2039078156.3126254,6.039613253960852e-14,-13.132202604047862
2050901803.6072145,-1.8118839761882555e-13,-12.765578748569615
2062725450.9018037,-1.0302869668521453e-13,-12.408861670046221
2074549098.1963928,-1.1368683772161603e-13,-12.061055828469321
2086372745.490982,-9.237055564881302e-14,-11.721173073865291
2098196392.785571,-8.881784197001252e-14,-11.38821538655652
2110020040.0801604,-2.4868995751603507e-13,-11.061154415290986
2121843687.3747497,7.460698725481052e-14,-10.738906212057794
2133667334.6693387,-2.3092638912203256e-13,-10.420298815724589
2145490981.963928,-8.171241461241152e-14,-10.104029127940686
2157314629.2585173,3.552713678800501e-14,-9.78860351554432
2169138276.5531063,6.750155989720952e-14,-9.472253123964471
2180961923.8476954,7.105427357601002e-14,-9.152808731557293
2192785571.1422844,1.7763568394002505e-14,-8.827508485219946
2204609218.436874,-2.5224267119483557e-13,-8.492689217597245
2216432865.731463,-2.1316282072803006e-13,-8.143264424841753
2228256513.0260525,1.0658141036401503e-14,-7.771783413139477
2240080160.3206415,-9.947598300641403e-14,-7.36659193310974
2251903807.6152306,6.750155989720952e-14,-6.907821886177105
2263727454.9098196,-5.3290705182007514e-14,-6.3571660987478475
2275551102.2044086,3.907985046680551e-14,-5.6243643632738145
2287374749.498998,-1.1723955140041653e-13,-4.3833574135177455
2299198396.793587,3.2484349338504117,-2.1769306694296553
2311022044.0881763,4.785479341982594,-4.30174713084835
2322845691.382766,4.9963597633564305,-5.618081493895204
2334669338.677355,4.8559569858064044,-6.469212657005659
2346492985.971944,4.595919257045772,-7.030152198987846
2358316633.266533,4.298421621078635,-7.399324583907804
2370140280.5611224,3.996957615976786,-7.636211435331401
2381963927.8557115,3.7058458281328406,-7.778791092051879
2393787575.1503005,3.4310199767139213,-7.852385087457829
2405611222.44489,3.174521209764121,-7.874475486850466
2417434869.739479,2.936534692547701,-7.85748224463989
2429258517.034068,2.716367985149546,-7.810441449649607
2441082164.328657,2.5129392626163956,-7.740060117772359
2452905811.6232467,2.3250259799757096,-7.65140168305453
2464729458.9178357,2.1513917063067307,-7.5483444867551075
2476553106.2124248,1.9908492230120007,-7.433896198214683
2488376753.5070143,1.8422896917861191,-7.310414213157333
2500200400.8016033,1.7046936550240925,-7.17976316323881
2512024048.0961924,1.577132397102944,-7.043429433802885
2523847695.3907814,1.458764353095554,-6.902605713803663
2535671342.685371,1.3488291603347173,-6.75825428784016
2547494989.97996,1.2466407878724066,-6.611155008823773
2559318637.274549,1.1515805258239875,-6.461942071690184
2571142284.5691385,1.0630902458790912,-6.311132492902884
2582965931.8637276,0.9806661333457227,-6.15914837347623
2594789579.1583166,0.9038529717807355,-6.006334451607065
2606613226.4529057,0.8322389949746247,-5.852972050076624
2618436873.747495,0.7654512855342523,-5.699290238610667
2630260521.042084,0.7031516816957346,-5.545474826271558
2642084168.3366733,0.6450331466309023,-5.391675649645507
2653907815.631263,0.5908165529816514,-5.238012512682176
2665731462.925852,0.5402478369575252,-5.08458005240061
2677555110.220441,0.49309547954679833,-4.931451743380935
2689378757.51503,0.4491482762565402,-4.778683207624611
2701202404.8096194,0.40821336087344906,-4.626314960966615
2713026052.1042085,0.37011445263240494,-4.474374700043647
2724849699.3987975,0.3346902998549328,-4.3228792127555105
2736673346.693387,0.301793296413595,-4.171835978741333
2748496993.987976,0.2712882503653409,-4.0212445134999495
2760320641.282565,0.2430512866919684,-3.871097499623752
2772144288.577154,0.2169688684098765,-3.7213817405258336
2783967935.8717437,0.19293692230640813,-3.572078965607445
2795791583.1663327,0.17086005731465448,-3.423166510622552
2807615230.460922,0.15065086506960867,-3.27461789284117
2819438877.7555113,0.13222929350421952,-3.126403297220975
2831262525.0501003,0.11552208549799248,-2.9784899870477446
2843086172.3446894,0.10046227559010945,-2.8308426502608928
2854909819.6392784,0.0869887386371424,-2.6834236908377314
2866733466.933868,0.07504578505756276,-2.5361934730757287
2878557114.228457,0.06458279795593924,-2.3891105253716285
2890380761.523046,0.055553908008457276,-2.2421317090505775
2902204408.8176355,0.04791770248359073,-2.0952123569118735
2914028056.1122246,0.04163696522373439,-1.9483063854606373
2925851703.4068136,0.03667844480037269,-1.8013663841598666
2937675350.7014027,0.033012648390954136,-1.654343684537357
2949498997.995992,0.030613659245485314,-1.5071884115500258
2961322645.290581,0.02945897585592222,-1.3598495192349997
2973146292.5851703,0.029529371209404853,-1.212274812369367
2984969939.87976,0.03080877069200111,-1.0644109555993477
2996793587.174349,0.03328414742887409,-0.9162034712636906
3008617234.468938,0.036945433998265165,-0.7675967269413732
3020440881.763527,0.0417854496318224,-0.6185339136000538
3032264529.0581164,0.04779984214825672,-0.4689570150562035
3044088176.3527055,0.054987044004140895,-0.31880676934314944
3055911823.6472945,0.06334824197739009,-0.16802262247089694
3067735470.941884,0.07288736009765395,-0.016542674966718796
3079559118.236473,0.08361105556926285,0.1356963785087517
3091382765.531062,0.09552872752745567,0.28875931623706763
3103206412.825651,0.10865253856878121,0.44271246305601597
3115030060.1202407,0.12299744910748822,0.597623770408624
3126853707.4148297,0.13858126470508114,0.7535629027920623
3138677354.709419,0.15542469661645741,0.9106013305986012
3150501002.0040083,0.1735514359046142,1.0688124294114272
3162324649.2985973,0.19298824158760775,1.2282715858360094
3174148296.5931864,0.21376504336860758,1.3890563100039994
3185971943.8877754,0.23591505964074488,1.551246354901739
3197795591.182365,0.2594749315653322,1.7149238427281817
3209619238.476954,0.2844848741498174,1.8801733984959839
3221442885.771543,0.3109888454023362,2.0470822911320843
3233266533.0661325,0.3390347347756717,2.21574058234395
3245090180.3607216,0.3686745722943492,2.386241283552549
3256913827.6553106,0.3999647599104308,2.558680521192295
3268737474.9498997,0.4329663268647028,2.733157710714196
3280561122.244489,0.46774521101116795,2.909775739613976
3292384769.539078,0.5043725683198623,3.0886411598350154
3304208416.8336673,0.5429251130365578,3.2698643898694084
3316032064.128257,0.5834854912543701,3.4535599268932824
3327855711.422846,0.6261426910023928,3.639846569242126
3339679358.717435,0.6709924922921426,3.8288476494950343
3351503006.012024,0.71813796099451,4.02069127841799
3363326653.3066134,0.7676899908458656,4.215510599927173
3375150300.6012025,0.8197678984194092,4.4134440571675615
3386973947.8957915,0.8745000764409507,4.61463566970126
3398797595.190381,0.9320247114883615,4.819235321648771
3410621242.48497,0.9924905728232116,5.027399060468862
3422444889.779559,1.056057879921413,5.239289405828422
3434268537.074148,1.1228992571794008,5.455075667756299
3446092184.3687377,1.193200785302075,5.674934272913116
3457915831.6633267,1.2671631600531361,5.899049097410623
3469739478.957916,1.3450029703470872,6.1276118040585175
3481563126.2525053,1.4269541091681348,6.360822181298584
3493386773.5470943,1.513269332464115,6.5988884802654235
3505210420.8416834,1.604221983073713,6.842027745450906
3517034068.1362724,1.7001078989006593,7.090466133232561
3528857715.430862,1.801247526975044,7.344439211064941
3540681362.725451,1.9079882677970268,7.604192228309045
3552505010.02004,2.0207070774753344,7.869980347474053
3564328657.3146296,2.139813358691225,8.142068821930232
3576152304.6092186,2.265752175485914,8.420733102815154
3587975951.9038076,2.399007831348099,8.706258853805629
3599799599.1983967,2.540107855116416,8.998941847409215
3611623246.492986,2.689627444851797,9.299087710350776
3623446893.7875752,2.848194426158697,9.60701147808446
3635270541.0821643,3.016494788448769,9.923036909291705
3647094188.376754,3.1952788704292736,10.24749549990527
3658917835.671343,3.385368274610025,10.580725122326138
3670741482.965932,3.5876635999100266,10.923068198440752
3682565130.260521,3.8031530913621214,11.274869294066221
3694388777.5551105,4.032922316352883,11.636471996661221
3706212424.8496995,4.278164987486873,12.00821490638678
3718036072.1442885,4.5401950626188405,12.390426531551148
3729859719.438878,4.820460262105931,12.783418831413666
3741683366.733467,5.120557150894094,13.187479090224697
3753507014.028056,5.44224793709773,13.602859733749757
3765330661.322645,5.787479137015236,14.029765610404363
3777154308.6172347,6.15840224583526,14.468338149938601
3788977955.9118237,6.557396529058444,14.918635679227489
3800801603.206413,6.987094005457518,15.380609012408703
3812625250.5010023,7.450406619251698,15.854071236065222
3824448897.7955914,7.950555484621299,16.338660373835342
3836272545.0901804,8.49110191261617,16.833793333433462
3848096192.3847694,9.075979675495628,17.3386092082728
3859919839.679359,9.709527595025246,17.851899624202787
3871743486.973948,10.396521016877884,18.372023392885524
3883567134.268537,11.142199997447005,18.896802270254913
3895390781.5631266,11.952291010033157,19.42339415030056
3907214428.8577156,12.833017583908617,19.948139606090955
3919038076.1523046,13.791093412293744,20.466377417187317
3930861723.4468937,14.833688978183957,20.972224752911032
3942685370.741483,15.96835952063574,21.458318263242415
3954509018.0360723,17.202918091680875,21.915513841778868
3966332665.3306613,18.54523250397367,22.332545821892904
3978156312.625251,20.002919279155332,22.69565162275942
3989979959.91984,21.58290173898354,22.988176400023136
4001803607.214429,23.290794160583022,23.1901853208232
4013627254.509018,25.13007136551216,23.278129983848793
4025450901.8036075,27.100986452116153,23.22464122080116
4037274549.0981965,29.199213503425494,22.998552899786635
4049098196.3927855,31.41422363206786,22.565297777460593
4060921843.687375,33.72745925516233,21.88784984093992
4072745490.981964,36.11045921596566,20.928404168499707
4084569138.276553,38.523206195514405,19.650963226321686
4096392785.571142,40.91310378665527,18.024909435909002
4108216432.8657317,43.21510710014395,16.0294614405477
4120040080.1603208,45.3535646832664,13.658628953619104
4131863727.45491,47.24620118320004,10.925936038264101
4143687374.7494993,48.81031708262759,7.867877326188765
4155511022.0440884,49.97071380992372,4.5449645555321645
4167334669.3386774,50.66820163783447,1.039468127645911
4179158316.6332664,50.86706364412232,-2.5503884958003056
4190981963.927856,50.5598019806993,-6.119107762264832
