           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
             -2.7             -4.9                0                0        66678.531                0        59498.691                0       -9.5193682
             -2.6             -4.9                0                0        63376.266                0        67460.359                0      -0.85325384
             -2.5             -4.9                0                0        59496.633                0        74965.922                0        7.5419197
             -2.4             -4.9                0                0        55646.711                0        82336.156                0         19.63644
             -2.3             -4.9                0                0        51792.379                0        88523.367                0        36.021385
             -2.2             -4.9                0                0        47946.066                0        93624.109                0        54.058002
             -2.1             -4.9                0                0        44139.438                0        98525.508                0        72.468361
               -2             -4.9                0                0        40508.324                0        103013.25                0        56.841877
             -1.9             -4.9                0                0        37115.445                0        107093.14                0        6.9501324
             -1.8             -4.9                0                0        33950.285                0        108428.23                0       -66.356773
             -1.7             -4.9                0                0         30739.84                0        108980.16                0       -130.14694
             -1.6             -4.9                0                0        26615.252                0        108905.37                0       -86.356316
             -1.5             -4.9                0                0        22588.457                0        108688.86                0       -41.284351
             -1.4             -4.9                0                0        18700.994                0        107903.45                0        4.2345357
             -1.3             -4.9                0                0        15232.104                0        103933.41                0        46.137379
             -1.2             -4.9                0                0         11902.06                0        99855.406                0        91.251442
             -1.1             -4.9                0                0        8754.8301                0        95597.367                0        125.83177
               -1             -4.9                0                0        6107.8838                0        90630.453                0        51.434204
             -0.9             -4.9                0                0        3800.2402                0        84337.906                0        14.648979
             -0.8             -4.9                0                0        1920.7422                0        76232.094                0        25.956081
             -0.7             -4.9                0                0       -200.51001                0        67905.586                0        14.319995
             -0.6             -4.9                0                0       -2304.8052                0        59471.512                0        6.7026167
             -0.5             -4.9                0                0       -4233.8281                0         50972.43                0        13.090269
             -0.4             -4.9                0                0       -5566.6758                0        41352.918                0        8.9558983
             -0.3             -4.9                0                0       -6520.5273                0         31255.24                0       0.93512231
             -0.2             -4.9                0                0       -7264.3281                0        21119.748                0       -2.1585865
             -0.1             -4.9                0                0       -7849.5205                0        10687.467                0       -7.4255552
                0             -4.9                0                0       -8266.5508                0       -116.84547                0        21.966129
              0.1             -4.9                0                0       -7849.5205                0       -10687.467                0        7.4255552
              0.2             -4.9                0                0       -7264.3281                0       -21119.748                0        2.1585865
              0.3             -4.9                0                0       -6520.5273                0        -31255.24                0      -0.93512231
              0.4             -4.9                0                0       -5566.6758                0       -41352.918                0       -8.9558983
              0.5             -4.9                0                0       -4233.8281                0        -50972.43                0       -13.090269
              0.6             -4.9                0                0       -2304.8052                0       -59471.512                0       -6.7026167
              0.7             -4.9                0                0       -200.51001                0       -67905.586                0       -14.319995
              0.8             -4.9                0                0        1920.7422                0       -76232.094                0       -25.956081
              0.9             -4.9                0                0        3800.2402                0       -84337.906                0       -14.648979
                1             -4.9                0                0        6107.8838                0       -90630.453                0       -51.434204
              1.1             -4.9                0                0        8754.8301                0       -95597.367                0       -125.83177
              1.2             -4.9                0                0         11902.06                0       -99855.406                0       -91.251442
              1.3             -4.9                0                0        15232.104                0       -103933.41                0       -46.137379
              1.4             -4.9                0                0        18700.994                0       -107903.45                0       -4.2345357
              1.5             -4.9                0                0        22588.457                0       -108688.86                0        41.284351
              1.6             -4.9                0                0        26615.252                0       -108905.37                0        86.356316
              1.7             -4.9                0                0         30739.84                0       -108980.16                0        130.14694
              1.8             -4.9                0                0        33950.285                0       -108428.23                0        66.356773
              1.9             -4.9                0                0        37115.445                0       -107093.14                0       -6.9501324
                2             -4.9                0                0        40508.324                0       -103013.25                0       -56.841877
              2.1             -4.9                0                0        44139.438                0       -98525.508                0       -72.468361
              2.2             -4.9                0                0        47946.066                0       -93624.109                0       -54.058002
              2.3             -4.9                0                0        51792.379                0       -88523.367                0       -36.021385
              2.4             -4.9                0                0        55646.711                0       -82336.156                0        -19.63644
              2.5             -4.9                0                0        59496.633                0       -74965.922                0       -7.5419197
              2.6             -4.9                0                0        63376.266                0       -67460.359                0       0.85325384
              2.7             -4.9                0                0        66678.531                0       -59498.691                0        9.5193682
              2.8             -4.9                0                0        69283.445                0       -51022.688                0        2.9054556
              2.9             -4.9                0                0         71922.75                0       -41810.523                0        2.4852114
                3             -4.9                0                0        74425.383                0       -32397.832                0        5.5943441
              3.1             -4.9                0                0        76675.484                0       -23049.715                0        6.4775743
              3.2             -4.9                0                0        78903.336                0       -13722.697                0        5.4982033
              3.3             -4.9                0                0        81086.531                0       -4489.5557                0        10.143861
              3.4             -4.9                0                0        83228.438                0          4634.02                0        13.263406
              3.5             -4.9                0                0        85370.938                0        13772.293                0       -1.7842731
              3.6             -4.9                0                0        87508.555                0        22919.145                0       -34.905895
              3.7             -4.9                0                0        88443.672                0            30704                0       -14.994709
              3.8             -4.9                0                0        88594.961                0        38451.809                0        22.763117
              3.9             -4.9                0                0        88669.023                0        45976.652                0         31.11412
                4             -4.9                0                0        88665.867                0        53278.488                0        10.058259
              4.1             -4.9                0                0        88931.383                0        59249.402                0       -16.555161
              4.2             -4.9                0                0        89305.125                0        64678.836                0       -18.964033
              4.3             -4.9                0                0        89673.852                0        69970.984                0        1.1741352
              4.4             -4.9                0                0            89595                0        74538.711                0        37.817558
              4.5             -4.9                0                0        87685.922                0        76580.141                0        35.454941
              4.6             -4.9                0                0        85731.531                0        78521.031                0        28.359674
              4.7             -4.9                0                0        83805.789                0        80333.297                0        13.922378
              4.8             -4.9                0                0        82169.781                0         81255.43                0        5.2333775
              4.9             -4.9                0                0        80875.094                0        80935.609                0        4.3633189
                5             -4.9                0                0         79521.57                0        80456.906                0       -8.9663572
               -5             -4.8                0                0        79886.406                0       -81899.234                0        13.619438
             -4.9             -4.8                0                0        81233.109                0       -82276.406                0        4.2831607
             -4.8             -4.8                0                0        82451.797                0       -82512.898                0        6.6586366
             -4.7             -4.8                0                0        83709.211                0       -82327.672                0        12.142385
             -4.6             -4.8                0                0        85555.273                0        -80390.93                0       -30.110607
             -4.5             -4.8                0                0        87429.984                0       -78325.562                0       -65.021576
             -4.4             -4.8                0                0        87967.219                0       -74894.578                0       -50.549576
             -4.3             -4.8                0                0        88301.195                0       -70166.023                0       -17.243374
             -4.2             -4.8                0                0        88694.695                0       -64337.086                0         -4.82656
             -4.1             -4.8                0                0        88331.984                0       -58791.523                0        11.060736
               -4             -4.8                0                0         87964.25                0       -53108.656                0        4.4011378
             -3.9             -4.8                0                0        87906.805                0       -45965.758                0       -24.566311
             -3.8             -4.8                0                0        87829.703                0       -38386.062                0       -27.790295
             -3.7             -4.8                0                0        87374.789                0        -30402.08                0       -1.9173965
             -3.6             -4.8                0                0        86261.891                0       -21471.459                0         32.80595
             -3.5             -4.8                0                0        85399.258                0       -11846.568                0        22.438717
             -3.4             -4.8                0                0        83556.812                0       -2563.7539                0       0.27737927
             -3.3             -4.8                0                0        81475.383                0        6615.0264                0       -8.8347607
             -3.2             -4.8                0                0        79361.234                0        15908.759                0       -8.1719751
             -3.1             -4.8                0                0         77205.68                0        25309.268                0       -8.2653379
               -3             -4.8                0                0        74622.961                0        34824.434                0       -7.0908928
             -2.9             -4.8                0                0        72050.242                0        44317.566                0       -1.3019571
             -2.8             -4.8                0                0        69507.273                0        53565.367                0       -2.3789904
             -2.7             -4.8                0                0        67007.289                0        62057.883                0        -20.94417
             -2.6             -4.8                0                0        64558.391                0        70433.438                0       -13.135741
             -2.5             -4.8                0                0        62160.598                0        78691.984                0        21.046246
             -2.4             -4.8                0                0        58609.766                0        86206.117                0        45.161709
             -2.3             -4.8                0                0        54829.828                0        92406.969                0        75.763771
             -2.2             -4.8                0                0        51067.145                0        97413.625                0        100.06406
             -2.1             -4.8                0                0        47507.371                0        101904.39                0        73.085197
               -2             -4.8                0                0        44086.281                0        106177.02                0        41.946053
             -1.9             -4.8                0                0        40803.852                0         110231.5                0        6.6464949
             -1.8             -4.8                0                0         37730.16                0        111545.42                0       -25.342508
             -1.7             -4.8                0                0        34764.996                0        112149.58                0       -59.276714
             -1.6             -4.8                0                0        31889.854                0        112563.27                0       -96.623718
             -1.5             -4.8                0                0        28584.838                0        112562.93                0       -80.335358
             -1.4             -4.8                0                0        24757.506                0        111691.29                0         7.649775
             -1.3             -4.8                0                0          21354.5                0        107600.34                0        92.827652
             -1.2             -4.8                0                0        18402.281                0        102889.52                0        82.111481
             -1.1             -4.8                0                0        15671.839                0        97920.359                0        49.557682
               -1             -4.8                0                0        13088.049                0        92814.609                0        19.172161
             -0.9             -4.8                0                0        10852.551                0         86380.07                0        6.5509868
