           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
              3.6             -4.9                1                0        50829.453                0       -72024.797                0         1.591113
              3.7             -4.9                1                0        51094.555                0       -71412.242                0        3.2674201
              3.8             -4.9                1                0         51319.48                0       -70577.898                0        3.6968193
              3.9             -4.9                1                0        51565.352                0       -69686.781                0         2.320297
                4             -4.9                1                0         51832.18                0       -68738.914                0         -0.86214
              4.1             -4.9                1                0        52060.129                0       -67438.594                0      -0.94194007
              4.2             -4.9                1                0        52310.875                0       -66080.852                0      -0.87697834
              4.3             -4.9                1                0        52590.992                0       -64697.691                0       -1.1035234
              4.4             -4.9                1                0        52873.059                0       -63235.262                0       -1.8965241
              4.5             -4.9                1                0        52895.988                0       -61309.844                0       -3.6552212
              4.6             -4.9                1                0        52927.488                0        -59372.75                0        -3.726162
              4.7             -4.9                1                0        52980.867                0       -57429.258                0        -1.810457
              4.8             -4.9                1                0        53025.074                0        -55346.93                0       0.62354422
              4.9             -4.9                1                0        53034.641                0       -53053.516                0       0.93192077
                5             -4.9                1                0        53049.086                0       -50732.727                0       0.38230026
               -5             -4.8                1                0        55337.145                0        50717.691                0       -1.2126489
             -4.9             -4.8                1                0        55331.047                0        53041.047                0      -0.80598295
             -4.8             -4.8                1                0        55319.145                0        55334.055                0       0.65585721
             -4.7             -4.8                1                0        55301.676                0        57553.215                0        3.2749844
             -4.6             -4.8                1                0        55234.742                0        59472.172                0        6.9632564
             -4.5             -4.8                1                0        55189.699                0        61384.738                0        8.6648808
             -4.4             -4.8                1                0        55126.664                0        63258.523                0        2.9246681
             -4.3             -4.8                1                0        55035.336                0         64905.27                0       0.92025101
             -4.2             -4.8                1                0        54849.215                0            66283                0         1.740478
             -4.1             -4.8                1                0        54588.734                0        67611.609                0       0.33754075
               -4             -4.8                1                0        54357.629                0        68914.812                0      -0.77389061
             -3.9             -4.8                1                0         54100.32                0        69991.039                0      -0.91937387
             -3.8             -4.8                1                0         53830.43                0        70889.039                0       0.87438416
             -3.7             -4.8                1                0        53581.492                0        71730.281                0        4.4740572
             -3.6             -4.8                1                0        53367.375                0        72199.961                0        3.8686357
             -3.5             -4.8                1                0        53153.027                0        72614.047                0        3.7812874
             -3.4             -4.8                1                0        52846.195                0        72921.891                0        4.6371317
             -3.3             -4.8                1                0        52449.293                0        73140.781                0        5.3422971
             -3.2             -4.8                1                0        52089.504                0        72983.867                0         5.452096
             -3.1             -4.8                1                0        51736.344                0        72642.664                0        4.1509557
               -3             -4.8                1                0        51327.445                0        72244.789                0        1.7028913
             -2.9             -4.8                1                0        50931.562                0        71803.445                0      -0.36499059
             -2.8             -4.8                1                0        50561.383                0        71196.078                0       -1.3225136
             -2.7             -4.8                1                0        50245.652                0        70167.328                0      -0.36012524
             -2.6             -4.8                1                0        49946.672                0        69095.172                0       -0.1614058
             -2.5             -4.8                1                0        49664.441                0        67979.633                0      -0.72635669
             -2.4             -4.8                1                0        49242.496                0        66766.078                0         -0.46399
             -2.3             -4.8                1                0        48841.051                0        65243.203                0       -9.2526121
             -2.2             -4.8                1                0        48465.188                0        63460.781                0           -20.35
             -2.1             -4.8                1                0        48043.551                0        61632.922                0       -13.954883
               -2             -4.8                1                0         47643.41                0        59770.094                0       -7.5657821
             -1.9             -4.8                1                0        47264.754                0        57872.289                0       -1.1826711
             -1.8             -4.8                1                0        46971.117                0        55538.137                0        4.0488629
             -1.7             -4.8                1                0        46713.758                0        53109.051                0          9.02384
             -1.6             -4.8                1                0        46479.828                0        50669.352                0         13.97558
             -1.5             -4.8                1                0        46195.125                0        48196.328                0        11.023808
             -1.4             -4.8                1                0        45848.555                0        45633.223                0        -1.690303
             -1.3             -4.8                1                0        45592.902                0        42696.746                0       -11.424848
             -1.2             -4.8                1                0        45289.273                0        39728.133                0       -9.6164637
             -1.1             -4.8                1                0        44996.289                0        36744.516                0       -5.5542574
               -1             -4.8                1                0        44732.742                0        33751.773                0       -2.2198186
             -0.9             -4.8                1                0        44533.035                0          30632.5                0      -0.29322833
             -0.8             -4.8                1                0        44413.398                0        27338.102                0     -0.063393533
             -0.7             -4.8                1                0        44326.223                0        24033.889                0      -0.57566053
             -0.6             -4.8                1                0        44267.695                0        20719.422                0       -1.7763258
             -0.5             -4.8                1                0        44095.082                0        17380.738                0       -2.5471888
             -0.4             -4.8                1                0        44008.793                0        13945.701                0       -4.4078183
             -0.3             -4.8                1                0        43926.039                0        10468.701                0       -4.1443138
             -0.2             -4.8                1                0        43794.859                0        6987.3379                0       -2.7905359
             -0.1             -4.8                1                0         43697.93                0         3501.585                0        1.3999305
                0             -4.8                1                0        43635.246                0       -11.442077                0       -8.4270887
              0.1             -4.8                1                0         43697.93                0        -3501.585                0       -1.3999305
              0.2             -4.8                1                0        43794.859                0       -6987.3379                0        2.7905359
              0.3             -4.8                1                0        43926.039                0       -10468.701                0        4.1443138
              0.4             -4.8                1                0        44008.793                0       -13945.701                0        4.4078183
              0.5             -4.8                1                0        44095.082                0       -17380.738                0        2.5471888
              0.6             -4.8                1                0        44267.695                0       -20719.422                0        1.7763258
              0.7             -4.8                1                0        44326.223                0       -24033.889                0       0.57566053
              0.8             -4.8                1                0        44413.398                0       -27338.102                0      0.063393533
              0.9             -4.8                1                0        44533.035                0         -30632.5                0       0.29322833
                1             -4.8                1                0        44732.742                0       -33751.773                0        2.2198186
              1.1             -4.8                1                0        44996.289                0       -36744.516                0        5.5542574
              1.2             -4.8                1                0        45289.273                0       -39728.133                0        9.6164637
              1.3             -4.8                1                0        45592.902                0       -42696.746                0        11.424848
              1.4             -4.8                1                0        45848.555                0       -45633.223                0         1.690303
              1.5             -4.8                1                0        46195.125                0       -48196.328                0       -11.023808
              1.6             -4.8                1                0        46479.828                0       -50669.352                0        -13.97558
              1.7             -4.8                1                0        46713.758                0       -53109.051                0         -9.02384
              1.8             -4.8                1                0        46971.117                0       -55538.137                0       -4.0488629
              1.9             -4.8                1                0        47264.754                0       -57872.289                0        1.1826711
                2             -4.8                1                0         47643.41                0       -59770.094                0        7.5657821
              2.1             -4.8                1                0        48043.551                0       -61632.922                0        13.954883
              2.2             -4.8                1                0        48465.188                0       -63460.781                0            20.35
              2.3             -4.8                1                0        48841.051                0       -65243.203                0        9.2526121
