           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             -2.5             -4.9                1        14626.669                0       -24356.977                0         29627980                0
             -2.4             -4.9                1        5891.9292                0       -2866.5273                0         28621296                0
             -2.3             -4.9                1        8130.5469                0        15736.494                0         27604274                0
             -2.2             -4.9                1        20783.102                0        30503.332                0         26599316                0
             -2.1             -4.9                1        30949.578                0        51444.625                0         25576824                0
               -2             -4.9                1         27865.93                0         54346.34                0         24414156                0
             -1.9             -4.9                1        12209.906                0        37674.344                0         23147028                0
             -1.8             -4.9                1       -432.99023                0         34286.43                0         21947672                0
             -1.7             -4.9                1       -12003.746                0        35247.867                0         20798060                0
             -1.6             -4.9                1       -9147.7646                0        21762.277                0         19680144                0
             -1.5             -4.9                1       -6713.4443                0        11906.129                0         18593762                0
             -1.4             -4.9                1       -3721.0217                0        6964.0464                0         17547534                0
             -1.3             -4.9                1        4968.2471                0        12784.326                0         16605864                0
             -1.2             -4.9                1        11625.162                0        18537.312                0         15715768                0
             -1.1             -4.9                1        15196.758                0        22586.508                0         14859746                0
               -1             -4.9                1        7210.2485                0        13312.628                0         13928105                0
             -0.9             -4.9                1        3626.3784                0        1177.3496                0         13124603                0
             -0.8             -4.9                1        7674.2588                0       -10594.937                0         12465577                0
             -0.7             -4.9                1        9117.6152                0       -10966.717                0         11846308                0
             -0.6             -4.9                1        6538.4922                0       -6118.8877                0         11289177                0
             -0.5             -4.9                1       -689.09009                0        1441.7202                0         10807294                0
             -0.4             -4.9                1        5692.2964                0        3108.5859                0         10447074                0
             -0.3             -4.9                1        9113.5605                0        3118.7485                0         10182209                0
             -0.2             -4.9                1        1021.7688                0        4891.8223                0          9993661                0
             -0.1             -4.9                1       -11134.318                0        1072.3688                0          9824011                0
                0             -4.9                1        25899.656                0       -4598.8921                0          9711977                0
              0.1             -4.9                1        11134.318                0        1072.3688                0          9824011                0
              0.2             -4.9                1       -1021.7688                0        4891.8223                0          9993661                0
              0.3             -4.9                1       -9113.5605                0        3118.7485                0         10182209                0
              0.4             -4.9                1       -5692.2964                0        3108.5859                0         10447074                0
              0.5             -4.9                1        689.09009                0        1441.7202                0         10807294                0
              0.6             -4.9                1       -6538.4922                0       -6118.8877                0         11289177                0
              0.7             -4.9                1       -9117.6152                0       -10966.717                0         11846308                0
              0.8             -4.9                1       -7674.2588                0       -10594.937                0         12465577                0
              0.9             -4.9                1       -3626.3784                0        1177.3496                0         13124603                0
                1             -4.9                1       -7210.2485                0        13312.628                0         13928105                0
              1.1             -4.9                1       -15196.758                0        22586.508                0         14859746                0
              1.2             -4.9                1       -11625.162                0        18537.312                0         15715768                0
              1.3             -4.9                1       -4968.2471                0        12784.326                0         16605864                0
              1.4             -4.9                1        3721.0217                0        6964.0464                0         17547534                0
              1.5             -4.9                1        6713.4443                0        11906.129                0         18593762                0
              1.6             -4.9                1        9147.7646                0        21762.277                0         19680144                0
              1.7             -4.9                1        12003.746                0        35247.867                0         20798060                0
              1.8             -4.9                1        432.99023                0         34286.43                0         21947672                0
              1.9             -4.9                1       -12209.906                0        37674.344                0         23147028                0
                2             -4.9                1        -27865.93                0         54346.34                0         24414156                0
              2.1             -4.9                1       -30949.578                0        51444.625                0         25576824                0
              2.2             -4.9                1       -20783.102                0        30503.332                0         26599316                0
              2.3             -4.9                1       -8130.5469                0        15736.494                0         27604274                0
              2.4             -4.9                1       -5891.9292                0       -2866.5273                0         28621296                0
              2.5             -4.9                1       -14626.669                0       -24356.977                0         29627980                0
              2.6             -4.9                1       -18788.639                0       -36162.891                0         30579944                0
              2.7             -4.9                1       -15555.366                0       -32831.168                0         31467134                0
              2.8             -4.9                1       -4805.9189                0        -8825.752                0         32298910                0
              2.9             -4.9                1       -5955.5684                0       -1675.1759                0         33064476                0
                3             -4.9                1       -8532.6406                0        1929.2715                0         33674616                0
              3.1             -4.9                1       -9556.5059                0       -1610.5767                0         34029908                0
              3.2             -4.9                1       -1716.5942                0         1706.302                0         34305076                0
              3.3             -4.9                1        6920.4673                0        7378.9292                0         34490420                0
              3.4             -4.9                1        4225.8999                0       -2618.1213                0         34543716                0
              3.5             -4.9                1        8708.5996                0       -24060.412                0         34472208                0
              3.6             -4.9                1        20368.543                0       -56947.941                0         34275884                0
              3.7             -4.9                1        14850.671                0       -31353.309                0         33754560                0
              3.8             -4.9                1        2358.2185                0         6908.396                0         32993760                0
              3.9             -4.9                1       -2424.1133                0        16561.496                0         32116024                0
                4             -4.9                1         503.6944                0       -2394.0332                0         31121358                0
              4.1             -4.9                1       -7492.8008                0        3088.1855                0         30036840                0
              4.2             -4.9                1       -2905.9092                0        4129.9619                0         28796696                0
              4.3             -4.9                1        16523.891                0       -3831.8135                0         27396086                0
              4.4             -4.9                1         41986.23                0       -15793.025                0         25746584                0
              4.5             -4.9                1        21994.551                0       -11229.091                0         23743452                0
              4.6             -4.9                1        8623.2734                0       -6885.7803                0         21672732                0
              4.7             -4.9                1        1606.6848                0       -2729.5322                0         19534584                0
              4.8             -4.9                1        3189.9314                0       -4363.5757                0         17309060                0
              4.9             -4.9                1        11056.706                0       -11622.598                0         14952610                0
                5             -4.9                1        20613.529                0       -15387.456                0         12479212                0
               -5             -4.8                1       -11947.604                0       -5707.9312                0         14915557                0
             -4.9             -4.8                1       -4306.2368                0       -6116.8936                0         17331122                0
             -4.8             -4.8                1         1816.543                0       -2876.0291                0         19625870                0
