           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
             -0.3             -4.9                0                0       -100164.88                0        13512.386                0       -13.535403
             -0.2             -4.9                0                0       -100948.27                0        9221.2529                0        13.052279
             -0.1             -4.9                0                0       -101272.44                0        4685.4375                0        35.373913
                0             -4.9                0                0       -101381.23                0        -31.98296                0       -53.195423
              0.1             -4.9                0                0       -101272.44                0       -4685.4375                0       -35.373913
              0.2             -4.9                0                0       -100948.27                0       -9221.2529                0       -13.052279
              0.3             -4.9                0                0       -100164.88                0       -13512.386                0        13.535403
              0.4             -4.9                0                0       -99357.383                0       -17793.811                0        14.191462
              0.5             -4.9                0                0       -98492.945                0       -21936.896                0       -2.7537022
              0.6             -4.9                0                0       -97536.766                0           -25751                0       -7.5218954
              0.7             -4.9                0                0       -96574.742                0       -29542.766                0       -10.429295
              0.8             -4.9                0                0       -95448.086                0       -33376.789                0       -10.239781
              0.9             -4.9                0                0       -93902.242                0       -37347.934                0      -0.72599316
                1             -4.9                0                0       -92292.492                0       -40754.121                0       -10.766304
              1.1             -4.9                0                0       -90631.641                0       -43744.598                0       -38.454285
              1.2             -4.9                0                0       -88347.875                0       -46364.789                0       -31.287151
              1.3             -4.9                0                0       -85993.125                0       -48920.445                0       -17.874046
              1.4             -4.9                0                0       -83643.297                0       -51453.191                0       -2.3473616
              1.5             -4.9                0                0           -81355                0       -52906.844                0        19.192501
              1.6             -4.9                0                0       -79088.023                0       -54177.336                0        38.516079
              1.7             -4.9                0                0       -76835.023                0       -55411.195                0        54.761467
              1.8             -4.9                0                0       -74269.188                0       -56672.477                0        28.450529
              1.9             -4.9                0                0       -71692.344                0       -57681.711                0       -4.2823839
                2             -4.9                0                0       -69252.992                0       -57601.219                0       -28.766373
              2.1             -4.9                0                0       -66540.438                0       -57319.637                0       -32.919014
              2.2             -4.9                0                0       -63545.969                0        -56829.25                0       -20.261276
              2.3             -4.9                0                0        -60603.07                0       -56264.633                0       -9.3896904
              2.4             -4.9                0                0       -57817.617                0       -55185.426                0       -6.4094005
              2.5             -4.9                0                0       -55221.211                0        -53524.66                0       -7.4947281
              2.6             -4.9                0                0       -52696.137                0       -51795.422                0       -3.7852762
              2.7             -4.9                0                0       -50143.711                0       -49955.965                0        3.0447035
              2.8             -4.9                0                0       -47540.555                0       -47993.625                0        9.9493265
              2.9             -4.9                0                0       -45207.508                0       -45410.953                0        10.297404
                3             -4.9                0                0       -42808.531                0       -42558.082                0        6.4894395
              3.1             -4.9                0                0       -40177.562                0       -39598.562                0        1.6292073
